Qid,Question,Cognitive Category,Knowledge Category,Knowledge Units
Q324," Explain with a diagram, rapid application development environment.",Understand,Procedural,Software Construction
Q325,"Explain the activities involved in re-engineering process, with an illustrative figure.",Understand,Procedural,Software Evolution
Q326,Briefly discuss some of the automated static analysis checks.,Understand,Procedural,Tools and Environments
Q327,Explain the five key strategies of clean room software development.,Understand,Conceptual,Software Processes
Q328,What is test automation? Explain with figure the tools that might be included in a testing workbench.,Understand,Procedural,Tools and Environments
Q329,Name and explain any five factors governing staff selection.,Understand,Procedural,Software Project Management
Q330, Briefly discuss the advantages and disadvantages of group cohesiveness that influence group working.,Understand,Factual,Software Project Management
Q331,Explain in detail algorithmic cost models in project planning.,Understand,Procedural,Software Project Management
Q332,What are the attributes of a good software? Explain. Also list and explain the key challenges facing software engineering.,Understand,Conceptual,Software Processes
Q333,"Explain with block diagram, the system engineering process.",Understand,Procedural,Software Processes
Q334,Define the term dependability. List and explain the various dependability properties.,Understand,Factual,Software Reliability
Q335,What is a software process model? Explain with a block diagram the evolutionary development model.,Understand,Procedural,Software Processes
Q336,"Distinguish between functional and non-functional requirements. With a block diagram, explain non-functional requirement types.",Understand,Factual,Requirements Engineering
Q337,List at least five stake holders for an automated university examination system. Classify the identified stake holders under different view points.,Analyze,Procedural,Requirements Engineering
Q338,Write short notes on:    a. Context Models.    b. Objects Models   c. Project Scheduling    d. Risk Management,Understand,Conceptual,Software Project Management
Q339,Explain the terms:  a. Architectural design decisions.  b. The repository model.    c. Unified modeling language (UML).   d. Sequence models.,Understand,Conceptual,Software Design
Q340, List and explain the principles of agile methods. Also explain the problems with agile methods.,Understand,Procedural,Software Processes
Q341,"Define ""Program Evolution Dynamics"". Discuss the Lehman laws for program evolution dynamics.",Understand,Conceptual,Software Evolution
Q342, Explain the various inspection roles and inspection check lists for software inspection process.,Understand,Procedural,Software Verification and Validation
Q343,What is partition testing? Identify equivalence class partitions for automated air conditioning system having at least four partitions. List also the boundary values for each class.,Analyze,Procedural,Software Verification and Validation
Q344,"Define people capability maturity model (PCMM). With a block diagram, explain various  P-CMM levels.",Understand,Conceptual,Software Reliability
Q345,List and explain various COCOMO cost estimation models.,Understand,Procedural,Software Project Management
Q346,Explain the types of software process model.,Understand,Conceptual,Software Processes
Q347,What are professional and ethical responsibility of software engineering?,Remember,Factual,Software Processes
Q348,Differentiate between technical computer based system and socio—technical system.,Understand,Factual,Software Processes
Q349,"With a relevant figure, bring out different disparities involved in software engineering.",Analyze,Conceptual,Software Processes
Q350,Explain the concept of safety and security in system.,Understand,Factual,Software Reliability
Q351,Bring out the different factors of system dependability.,Analyze,Conceptual,Software Reliability
Q352,"Explain the software specification, with neat diagram.",Understand,Procedural,Requirements Engineering
Q353,Briefly list out non—functional requirements of software system.,Remember,Factual,Requirements Engineering
Q354,"Explain the requirement engineering process, with relevant figures.",Understand,Procedural,Requirements Engineering
Q355,Explain the different system models which can be created during analysis process.,Understand,Procedural,Requirements Engineering
Q356,Explain the management activities of a software manager.,Understand,Factual,Software Project Management
Q357,What is need of architectural design decision? List out different that can be developed.,Remember,Conceptual,Software Design
Q358,Describe the concept of client — server model with a neat diagram.,Understand,Conceptual,Software Design
Q359,Explain the centralized control model. ,Understand,Conceptual,Software Design
Q360,Explain the principles of agile methods.,Understand,Conceptual,Software Processes
Q361,Explain the different types of software maintenance,Understand,Conceptual,Software Reliability
Q362,Explain the software evolution process.,Understand,Procedural,Software Processes
Q363,"With a neat diagram, explain the inspection process.",Understand,Procedural,Software Verification and Validation
Q364,Explain the stages involved in automatic static analysis.,Understand,Procedural,Software Verification and Validation
Q365,Explain the performance testing.,Understand,Conceptual,Software Verification and Validation
Q366,Describe the four factors of people management.,Understand,Factual,Software Project Management
Q367, Explain the Maslow concept of motivating people,Understand,Conceptual,Software Project Management
Q368,"Describe the cost estimation-techniques, with relevant example.",Understand,Procedural,Software Project Management
Q369,What are attributes of good software?,Remember,Factual,Software Processes
Q370,Define Software Engineering. Explain different types of software product.,Understand,Factual,Software Processes
Q371,Explain emergent system properties with examples.,Understand,Factual,Software Processes
Q372,Explain the different types of critical systems.,Understand,Factual,Software Reliability
Q373, Explain security terminologies.,Understand,Conceptual,Software Project Management
Q374,Describe rational unified process with block diagram.,Understand,Procedural,Software Design
Q375,Explain the metrics for specifying non-functional requirements.,Understand,Factual,Requirements Engineering
Q376,Explain requirement engineering process.,Understand,Procedural,Requirements Engineering
Q377,Explain the structure of the requirements document.,Understand,Procedural,Requirements Engineering
Q378,List and explain different types of system models.,Understand,Conceptual,Software Design
Q379,What are project management activities? Explain.,Understand,Factual,Software Project Management
Q380,"With an example describe the repository model and give, its advantages and disadvantages.",Understand,Conceptual,Software Design
Q381,Draw and explain state diagram for a typical weather station.,Apply,Procedural,Software Design
Q382,Explain the principles of agile methods.,Understand,Factual,Software Processes
Q383, What is pair programming? Explain its advantages.,Remember,Factual,Software Processes
Q384,Explain Lehman's laws of program evolution dynamics.,Understand,Conceptual,Software Evolution
Q385,Briefly explain the roles in inspection process.,Understand,Procedural,Software Verification and Validation
Q386,Explain clean -room software development.,Understand,Conceptual,Software Reliability
Q387,Explain general model of testing with the help of block diagram.,Understand,Procedural,Software Verification and Validation
Q388,Explain any five factors governing staff selection.,Evaluate,Procedural,Software Project Management
Q389,What are the factors that influence group working?,Remember,Factual,Software Project Management
Q390,Explain cost estimation techniques.,Understand,Procedural,Software Project Management
Q391,Answer the following questions:  I) Difference between software engineering and System Engineering.   ii) What is the software process model ?   Iii) What are key challenges facing software engineering?,Understand,Conceptual,Software Processes
Q392,What are emergent system properties? Give examples. Explain the types of emergent properties.,Understand,Factual,Software Processes
Q393,Define legacy system ? Explain the layered model of legacy system.,Understand,Conceptual,Software Processes
Q394,What are the types of critical systems? Define. Write a simple safety critical system and explain.,Create,Procedural,Software Reliability
Q395,"Explain the evolutionary development, and its properties.",Understand,Conceptual,Software Processes
Q396,Write Boehm's spiral model of the software process and explain.,Create,Procedural,Software Processes
Q397,List out the notations for requirement with description.,Remember,Factual,Requirements Engineering
Q398,Write the roles of the users of a requirement document.,Remember,Factual,Requirements Engineering
Q399,What is Ethnography? How ethnography is effective in discovering the types of requirements ?,Evaluate,Conceptual,Requirements Engineering
Q400,Draw the state machine model of a microwave oven.,Create,Procedural,Software Design
Q401," What is object aggregation ? Write an example showing aggregation, with notation.",Understand,Conceptual,Software Design
Q402,"According to Bas et al, what are the advantages of designing and documenting software architecture?",Remember,Procedural,Software Design
Q403,Explain event driven systems.,Understand,Conceptual,Software Design
Q404,What is a sequence model? Write the sequence model of operations in collecting the data from a weather station and explain.,Create,Procedural,Software Design
Q405,Explain the difficulties with iterative development and incremental delivery.,Understand,Procedural,Software Construction
Q406,Briefly discuss the extreme programming release cycle with a neat diagram.,Understand,Procedural,Software Processes
Q407,How software maintenance is carries out? Explain briefly.,Understand,Procedural,Software Reliability
Q408,Explain V-model with a neat diagram for planning verification and Validation process.,Understand,Procedural,Software Verification and Validation
Q409,Explain the characteristics of clean room software development.,Understand,Conceptual,Software Reliability
Q410,Explain any one of the approaches to test case design.,Understand,Procedural,Software Verification and Validation
Q411,Why people capability maturity model is used? Explain P-CMM model.,Understand,Conceptual,Software Design
Q412,List the factors that influence the effectiveness of communication.,Remember,Factual,Software Project Management
Q413,Write a note on project duration and staffing.,Understand,Factual,Software Project Management
Q414,Name the types of metrics used to estimate productivity.,Remember,Factual,Software Project Management
Q415,Describe FOUR Ps for Project Management and explain any THREE in detail.,Understand,Conceptual,Software Project Management
Q416,What does CASE stands for? Explain all the CASE components.,Understand,Conceptual,Tools and Environments
Q417,Define Software Engineering. Draw and explain Software Engineering layers.,Understand,Procedural,Software Processes
Q418,Write and explain briefly possible reasons for project failure.,Understand,Factual,Software Processes
Q419,Describe two main features of Spiral model and discuss working of Prototyping model with its diagram,Understand,Procedural,Software Processes
Q420,Discuss umbrella activities and its role in software development life cycle (SDLC).,Understand,Conceptual,Software Processes
Q421,Explain W5HH principle with respect to software project management,Understand,Conceptual,Software Project Management
Q422,Draw context diagram and data flow diagram (DFD) for Airlines Reservation System.,Create,Procedural,Software Design
Q423,What is Software Reliability? Compare Black Box testing and White Box testing in software product.,Understand,Conceptual,Software Verification and Validation
Q424,Prepare an E-R diagram for a Hospital Management System.,Create,Procedural,Requirements Engineering
Q425,Describe process of requirement engineering in detail.,Understand,Procedural,Requirements Engineering
Q426,Discuss all generic frame work activities of software engineering with respect to any one process model.,Understand,Procedural,Software Processes
Q427,What is testing? What is debugging? Draw the spiral diagram showing testing strategies with phases of software development,Apply,Procedural,Software Verification and Validation
Q428,Draw database design model and discuss Architectural design and Interface design.,Apply,Conceptual,Software Design
Q429,What is User Interface (UI)? Explain the design model for UI.,Understand,Conceptual,Software Design
Q430,Discuss Incremental process model with its diagram and compare with Waterfall model.,Analyze,Conceptual,Software Processes
Q431,Define Software Quality Assurance (SQA) and explain SQA activities.,Understand,Procedural,Software Project Management
Q432,Explain the difference between software and hardware characteristics.,Understand,Factual,Software Processes
Q433,List and explain very briefly various activities of software engineering process framework.,Understand,Conceptual,Software Processes
Q434,Explain the process model which is normally suits for development of large-scale software system.,Analyze,Procedural,Software Processes
Q435,Develop a complete Use Case System for ATM machine.,Create,Procedural,Software Design
Q436,Consider a project to develop a text editor. Major modules of project are: 1. Menu Panel (size 9KB) 2. Text editing window (size 4 KB) 3. Short cut  keys handler (size 6 KB). Use COCOMO to determine the overall cost of the project and duration of development.,Apply,Procedural,Software Project Management
Q437,"Explain function point analysis method. Compute the function points for the following data set: Inputs =8, Outputs= 12, Inquiries = 4, Logical files = 41, Interfaces =1 and   Fi = 41.",Analyze,Procedural,Software Project Management
Q438,"Using appropriate example, Explain control flow model.",Understand,Procedural,Software Verification and Validation
Q439,Define module coupling and cohesion. Explain different types of coupling and cohesion.,Understand,Conceptual,Software Design
Q440,Explain functional modeling of a system. Draw data flow diagram for an ATM machine.,Create,Procedural,Software Design
Q441,What is the difference between software architecture and software design? Explain any two architectural styles of software.,Understand,Conceptual,Software Design
Q442,Write short note on : Risk Management,Understand,Conceptual,Software Project Management
Q443,Explain Version Management and code quality management under changing conditions.,Understand,Conceptual,Tools and Environments
Q444,Explain Importance of SQA.,Understand,Conceptual,Software Project Management
Q445,What is Black box testing? Explain any one technique to carry out black box testing.,Apply,Procedural,Software Verification and Validation
Q446,What are different levels of testing and the goals of each level?,Remember,Factual,Software Verification and Validation
Q447,Write short note on : Software Prototyping.,Understand,Conceptual,Software Processes
Q448,Write short note on: Integrated CASE Environment.,Understand,Conceptual,Tools and Environments
Q449,Write short note on: Software Project Management,Understand,Conceptual,Software Project Management
Q450,What is Software Engineering ? What is Process ? What is Product?,Remember,Factual,Software Processes
Q451,Explain Requirement engineering process.,Understand,Procedural,Requirements Engineering
Q452,Explain Spiral Process Model and its advantages .,Understand,Procedural,Software Processes
Q453,Explain Feasibility Study of College Management System.,Analyze,Procedural,Requirements Engineering
Q454,Explain Feasibility Study of Hospital Management System,Analyze,Procedural,Requirements Engineering
Q455,Explain Functional and non functional requirement,Understand,Factual,Requirements Engineering
Q456,Explain Prototype model and compare it with Water Fall process model .,Analyze,Conceptual,Software Processes
Q457,"What is Data design, architectural design and procedural Design?",Remember,Factual,Software Design
Q458,Draw E-R Diagram for university result system,Create,Procedural,Requirements Engineering
Q459,Explain User Interface Design Concepts with example.,Understand,Conceptual,Software Design
Q460,Explain Different Quality standards.,Understand,Factual,Software Project Management
Q461,Explain Software Quality Assurance Techniques.,Understand,Procedural,Software Project Management
Q462,What are the steps in software Project Planning? What is effort estimation?,Remember,Procedural,Software Project Management
Q463,Explain Different Testing Techniques.,Understand,Factual,Software Verification and Validation
Q464,Explain CASE and building blocks of CASE,Understand,Conceptual,Tools and Environments
Q465,"Explain Different Metrics –Size, Functional and complexity",Understand,Factual,Software Project Management
Q466,"Explain : Reliability , Cyclomatic Complexity",Understand,Factual,Software Verification and Validation
Q467,State True/False,Remember,Factual,
,"Once we write the program and test it, our work is not over.",,,
,Design should be traceable to the requirements model.,,,
,Full form of MTBF is – Mean Time Between Failure.,,,
,Context diagram represents system as a whole.,,,
,"For software architecture, there can be many separate software designs.",,,
,Most of the technical effort is consumed in design phase of software development.,,,
,Black Box testing focuses on the program control structure,,,
Q468,Explain in detail the process model which is normally suited for development of large-scale software system.,Evaluate,Procedural,Software Processes
Q469,Explain Spiral model with suitable example. Also explain how it differs from Software Prototyping model,Analyze,Conceptual,Software Processes
Q470,Consider a project to develop a text editor. Major modules of project are: 1. Menu Panel (size 9KB) 2. Text editing window (size 4 KB) 3. Short cut  keys handler (size 6 KB). Use COCOMO to determine the overall cost of the project and duration of developm,Apply,Procedural,Software Project Management
Q471,"Explain function point analysis method. Compute the function points for the following data set: Inputs =8, Outputs= 12, Inquiries = 4, Logical files = 41, Interfaces =1 and   Fi = 41.",Apply,Procedural,Software Project Management
Q472,What is SRS? Why SRS is known as black-box specification of the system? What are major issues addressed by SRS?,Remember,Factual,Requirements Engineering
Q473,Define module coupling and cohesion. Explain different types of coupling and cohesion.,Understand,Conceptual,Software Design
Q474,What is Software Quality Assurance? Explain various factors that affect Software Quality.,Understand,Conceptual,Software Project Management
Q475,Explain the process model which is used in situations where the requirements are well defined.,Apply,Conceptual,Software Processes
Q476,Write short note on : Risk Management,Understand,Conceptual,Software Project Management
Q477,Explain “How to manage the different versions that get created and how to maintain code quality under changing conditions.”,Understand,Factual,Tools and Environments
Q478,Explain in detail the design issues while designing User Interface.,Understand,Conceptual,Software Design
Q479,Explain Black box testing and White box testing. Explain any one technique to carry out each testing.,Understand,Procedural,Software Verification and Validation
Q480,What are different levels of testing and the goals of the different levels?,Remember,Conceptual,Software Verification and Validation
Q481,Write short note on: Reverse Engineering.,Understand,Conceptual,Software Reliability
Q482,Explain Software Process Improvement. Explain various elements of SPI framework and maturity model.,Understand,Conceptual,Software Design
Q483,Write short note on: Software Project Management,Understand,Conceptual,Software Project Management
Q484,Explain incremental model for system development. Differentiate it with spiral model.,Analyze,Conceptual,Software Processes
Q485,What is W5HH principle? Explain in detail.,Understand,Factual,Software Processes
Q486,Draw the Data Flow Diagram with different levels for withdraw and deposit of money in a bank,Create,Procedural,Software Design
Q487,What is software prototyping? Explain its significance in software engineering with example.,Understand,Conceptual,Software Processes
Q488,Define Quality for software. List and explain SQA activities,Understand,Conceptual,Software Project Management
Q489,Prepare an E-R diagram for a simple Library Management System.,Create,Procedural,Software Design
Q490,Explain software testing strategy for conventional software architecture. Draw the spiral diagram showing testing strategies with phases of software development.,Create,Procedural,Software Verification and Validation
Q491,Prepare a state diagram for Microwave Oven showing all states of it.,Create,Procedural,Software Design
Q492,How unit testing strategy works on a software module? What errors are commonly found during unit testing?,Analyze,Conceptual,Software Verification and Validation
Q493,Define FOUR Ps for project management and explain them in detail,Understand,Factual,Software Project Management
Q494,Explain the significance of User Interface (UI) in a system. Also explain the design model for UI.,Apply,Conceptual,Software Design
Q495,List and explain requirement engineering tasks.,Understand,Conceptual,Requirements Engineering
Q496,What is Cyclomatic Complexity? Define steps to find cyclomatic complexity using flow graph.,Apply,Procedural,Software Verification and Validation
Q497,What is activity diagram and swim-lane diagram? Draw activity diagram for Billing Counter of a shopping mall.,Create,Procedural,Software design
Q498,Draw and explain Process Framework,Understand,Procedural,Software Processes
Q499,How do we define software engineering? Draw and explain software engineering layers.,Understand,Procedural,Software Processes
Q500,What is Object Oriented Design of a system? Create a class diagram showing all possible relationships between classes of a system,Create,Procedural,Software Design
Q501,Describe the difference between risk components and risk drivers.,Understand,Factual,Software Project Management
Q502,Develop a complete use cases for the system which is known to you.,Create,Procedural,Software Design
Q503,Develop a complete test strategy for the system which is known to you.,Create,Procedural,Software Verification and Validation
Q504,Describe requirements validation,Understand,Factual,Requirements Engineering
Q505,Describe generic view of software Engineering.,Understand,Factual,Software Processes
Q506,Explain in brief the spiral model,Understand,Conceptual,Software Processes
Q507,Using appropriate example explain control flow mode,Understand,Procedural,Software Processes
Q508,Explain in brief the process model which is used in situations where requirements are well defined and stable.,Apply,Factual,Software Processes
Q509,Using appropriate example explain data dictionary,Understand,Conceptual,Software Design
Q510,Explain the W^5HH principle,Understand,Conceptual,Software Processes
Q511,List set of guidelines for formal technical reviews,Remember,Factual,Software Evolution
Q512,List and explain work tasks for the communication activity,Understand,Conceptual,Software Project Management
Q513,Explain importance of SQA,Understand,Conceptual,Software Project Management
Q514,Using example explain the basic path testing method,Understand,Procedural,Software Verification and Validation
Q515,Describe coding standards.,Understand,Factual,Software Construction
Q516,List set of guidelines for BVA ? Also Explain merits and demerits of BVA,Remember,Conceptual,Software Verification and Validation
Q517,Describe integrated CASE Environment,Understand,Conceptual,Tools and Environments
Q518,Distinguish verification and validation.,Understand,Factual,Software Verification and Validation
Q519, Define System Engineering.,Remember,Factual,Software Processes
Q520, What do you mean by functional and non–functional requirements?,Remember,Factual,Requirements Engineering
Q521,List two advantages 'of employing Prototyping in Software.Process.,Remember,Factual,Software Processes
Q522,Define Software Architecture.,Remember,Factual,Software Design
Q523, List the notations used in Data-flow models:,Remember,Factual,Software Design
Q524, What are the classes of loops that can.be tested?,Remember,Factual,Software Verification and Validation
Q525,What isCyclomatic complexity?.,Remember,Factual,Software Verification and Validation
Q526,What is software configuration management?,Remember,Factual,Tools and Environments
Q527,What is error tracking?,Remember,Factual,Software Project Management
Q528,Discuss in detail about any two evolutionary process models.,Understand,Conceptual,Software Processes
Q529,Discuss about the claSsic Waterfall process model.,Understand,Conceptual,Software Processes
Q530,Explain the prototype paradigm in process Models,Understand,Conceptual,Software Processes
Q531,What are the components of the standard structure for the software requirements document? Explain in detail.,Understand,Procedural,Requirements Engineering
Q532,Write the software requirement specification for a system of your  choice,Create,Procedural,Requirements Engineering
Q533,What are the types of behavioural models? Explain with examples.,Understand,Conceptual,Software Design
Q534,Explain in detail about any four architectural styles.,Understand,Conceptual,Software Design
Q535,What are the characteristics of a .real-time system? Explain why  real-time systems usually have to be implemented using concurrent   processes,Apply,Procedural,Software Construction
Q536,Illustrate with the aid of an appropriate .example how to design a real-time monitoring and control systems:,Create,Procedural,Software Design
Q537, Explain in detail about the Integration testing.,Understand,Procedural,Software Verification and Validation
Q538,Explain in detail about Basis path testing,Understand,Procedural,Software Verification and Validation
Q539,What is COCOMO model? Explain in detail,Understand,Conceptual,Software Project Management
Q540,What are CASE tools? ExpliOn the role of CASE tools in software development process.,Understand,Conceptual,Software Processes
Q541,Elaborate on Software Configuration Management.,Understand,Conceptual,Tools and Environments
Q542,What are the categories of software risks? Give an overview  about   risk management. ,Understand,Conceptual,Software Project Management
Q543,What is software process? List its activities.,Remember,Procedural,Software Processes
Q544,Distinguish between verification and validation.,Understand,Factual,Software Verification and Validation
Q545,List the benefits of software prototyping.,Remember,Conceptual,Software Processes
Q546,What is data dictionary?,Remember,Factual,Software design
Q547,Define data abstraction.,Remember,Factual,Software Construction
Q548,Write the use of data acquisition system.,Remember,Conceptual,Software design
Q549,What is black box testing?,Remember,Factual,Software Verification and Validation
Q550, Write down the generic characteristics of software testing.,Remember,Factual,Software Verification and Validation
Q551,Compare size-oriented with function-oriented metrics.,Understand,Factual,Software Project Management
Q552, What do you mean by estimation risk? ,Remember,Factual,Software Project Management
Q553,"With a neat sketch, explain the function of system engineering process.",Understand,Procedural,Requirements Engineering
Q554,What is computer based . system? Explain the various systeml elements used in it,Understand,Factual,Tools and Environments
Q555,Explain the business process engineering hierarchy with an  example.,Understand,Factual,Software Reliability
Q556,What is the goal of product engineering?,Understand,Conceptual,Software Construction
Q557,Explain the metrics used for specifying non-functional  requirements.,Understand,Factual,Requirements Engineering
Q558,Show the template of IEEE standard software requirements document,Apply,Procedural,Requirements Engineering
Q559,Explain the function-of requirements engineering process.,Understand,Procedural,Requirements Engineering
Q560,Describe the use of behavioral model with-examples,Understand,Conceptual,Software Design
Q561,Discuss the design heuristics for effective modularity design,Apply,Procedural,Software Design
Q562,Explain the architectural styles used in architectural design,Understand,Conceptual,Software Design
Q563,List the activities of user interface design process,Remember,Procedural,Software Design
Q564,Explain the general model of a real time system,Understand,Conceptual,Software Design
Q565,Explain the integration testing in detail,Understand,Procedural,Software Verification and Validation
Q566,Write note on unit testing,Understand,Procedural,Software Verification and Validation
Q567,Explain the categories of debugging approaches,Understand,Procedural,Software Verification and Validation
Q568,EXplain the use of COCOMO model,Understand,Conceptual,Software Project Management
Q569,Describe the steps involved in project scheduling process,Understand,Procedural,Software Project Management
Q570,Briefly discuss the activities . of Software configuration management.,Understand,Procedural,Tools and Environments
Q571,Explain the types of software project plan,Understand,Conceptual,Software Project Management
Q572,What is Software Engineering?,Remember,Factual,Software Processes
Q573,`Software doesn't wear out'. Justify,Evaluate,Factual,Software Processes
Q574,List two advantages of using traceability tables in the requirements  management phase:,Remember,Conceptual,Requirements Engineering
Q575,What are the types.of prototypes?,Remember,Factual,Software Processes
Q576,Develop a CRC model index card for a class 'Account' used in a Banking  application.,Create,Procedural,Software Construction
Q577,List two principles of good design.,Remember,Factual,Software Design
Q578,What are the levels at which testing is done?,Analyze,Procedural,Software Verification and Validation
Q579, Define Regression Testing.,Remember,Procedural,Software Verification and Validation
Q580,Define Software Quality.,Remember,Factual,Software Project Management
Q581,What is Risk? Give an example of risk.,Understand,Factual,Software Project Management
Q582,"Compare the following life cycle models based on their distinguishing factors, strengths and weaknesses Waterfall Model, RAD Model, Spiral'Model and Formal Methods Model.",Analyze,Conceptual,Software Processes
Q583, Develop the use case diagram for the specification above,Create,Procedural,Software Design
Q584,For any two scenarios draw an activity diagram and sequence diagram.,Create,Procedural,Software Design
Q585,What is the purpose of feasibility study? ,Remember,Factual,Requirements Engineering
Q586,State the inputs and results of the feasibility study,Remember,Factual,Requirements Engineering
Q587,List any four issues addressed by. a feasibility study.,Remember,Factual,Requirements Engineering
Q588,Elaborate the phases-involved when carrying out a feasibility study,Understand,Conceptual,Requirements Engineering
Q589,Differentiate functional and non-functional requirements.,Understand,Factual,Requirements Engineering
Q590,"For' the requirement given below, identify stakeholders, functional    and non—functional requirements",Analyze,Conceptual,Requirements Engineering
Q591, What is system modelling? Explain the 'process of creating models and the factors that should.be considered when building models.,Understand,Procedural,Software Design
Q592," Give a name for the system. Draw the Level 6 DFD (Context Flow 'Diagram) , Draw the Level — DFD.",Create,Procedural,Software Design
Q593,"Given a set Of numbers 'n' ,the function FindPrime(a[ ],n) prints a number if it is a _prime number. Draw control flow graph, calculate the cyclomatic complexity and enumerate all paths. State how 'many test cases are needed to adequately cover .the code in terms of branches, decisions and-statement? Develop the necessary test cases using sample values for 'a' and 'n'.
",Create,Procedural,Software Verification and Validation
Q594,What is black box testing? ,Remember,Conceptual,Software Verification and Validation
Q595,"What .is' Equivalence Class Partitioning? list rules used to define valid and invalid equivalence classes. EXplain the technique Using examples.
",Understand,Procedural,Software Verification and Validation
Q596,What is Boundary Value Analysis? Explain the technique specifying rules. and its usage with the. help of an example.,Understand,Procedural,Software Verification and Validation
Q597,Explain the COC.OMO model for estimation.,Understand,Procedural,Software Project Management
Q598,State ZIPF's law.,Remember,Conceptual,Software Project Management
Q599,What is the purpose of Delphi method? State advantages and disadvantages of the method.,Remember,Procedural,Software Project Management
Q600,What is SoftWare Configuration Management? Explain various aspects of Configuration. Management.,Understand,Procedural,Tools and Environments
Q601,What are the potential advantages of adhering to life cycle models for software?,Remember,Conceptual,Software Processes
Q602,Is it always possible to realize win-win model for software? Justify.,Evaluate,Conceptual,Software Processes
Q603,"Distinguish between the terms inception, elicitation and elaboration with reference to requirements.",Understand,Factual,Requirements Engineering
Q604,An SRS is traceable. Comment.,Understand,Factual,Requirements Engineering
Q605,How do you apply modularizalion criteria for a monolithic software?,Apply,Conceptual,Software Design
Q606,What. are the design quality attributes 'FURL'S' meant?,Remember,Factual,Software Design
Q607,What is a Big-Bang approach?,Remember,Factual,Software Verification and Validation
Q608,How are the software testing results related to the reliability of the software?,Understand,Conceptual,Software Verification and Validation
Q609,"An organic software occupies 15,000 LOC. How many programmers are needed   to complete?",Apply,Procedural,Software Project Management
Q610, How are the software risks assessed?,Evaluate,Procedural,Software Project Management
Q611," Describe waterfall, incremental, iterative water fall model and spiral  model based SLCS and compare.",Understand,Conceptual,Software Processes
Q612,How the software products are classified? Discuss briefly about business process engineering and product engineering.,Understand,Conceptual,Software Processes
Q613,Describe the requirement engineering process and how the requirements  are managed.,Understand,Conceptual,Requirements Engineering
Q614,Explain the functional and behavioural models for software requirement  process.,Understand,Conceptual,Requirements Engineering
Q615,"Discuss about software architecture design, with emphasize on far in, far out, coupling, cohesion and factoring.",Understand,Conceptual,software design
Q616, What are the characteristics of a good user interface design? Describe  ow UID may be developed for a data acquisition system.,Understand,Conceptual,Software Design
Q617,Write elaborately on white box testing for a software. How do you develop test suites?,Create,Procedural,Software Verification and Validation
Q618,Discuss the software implementation techniques and debugging guidelines.,Understand,Procedural,Software Verification and Validation
Q619,How the cost of a software is estimated using (i) function point metric model (ii) cocomo (by three methods). What is the contribution of  technology complexity factor in function point model?,Apply,Procedural,Software Project Management
Q620,Write short notes on the following : (i) PERT and CP/vi for scheduling  (ii) RIVIMP  (iii) ESTIMACS and   (iv) Software maintenance cost. ,Understand,Conceptual,
621,Prototype is : a) Mini model of existing system  b) Mini model of proposed system c) Working model of the existing system d) None of these.,Remember,Factual,
,The present trend in data processing system is : a) Distributed processing b) Remote processing c) Real-time processing  d) None of these.,,,
, A class is a : a)  group of objects b) template of object of a particular type c)class of object d)classification of object.,,,
,In UML diagram of a class a) state of object cannot be represented  b) state is irrelevant c) state is represented as an attribute  d) state is represented as a result of operation.,,,
,The testing performed by friendly user is : a) Alpha testing      b) Beta testing  c) White box testing  d) None of these.,,,
,A good software design contains :   a) High cohesion and low coupling  b) Low cohesion and low coupling   c) High cohesion and high coupling d) Low cohesion and high coupling.,,,
,Which is not supported by UML ? a) Use case diagram   b) Class diagram  c) ER diagram         d) Sequence diagram.,,,
,How many parameters are used in complexity  adjustment in F.P. ?  :  a)  17   b)  21   c)  14                d)  12.,,,
,ix) Which level of SEI CMM is called as managed ?  : a) Level 1                b) Level 2     c)   Level 3              d) Level 4.,,,
,What is the approximate time taken for coding ?   a) 17%                    b) 21%   c) 3%                     d) 40&.,,,
622,What are Cohesion and Coupling ? Classify them according  to priority.,Understand,Conceptual,Software Design
623,What is Configuration Management ? Discuss about the necessity of Configuration Management.  ,Analyze,Conceptual,Tools and Environments
624, Compare function oriented and object oriented approach for  software design with example.,Understand,Procedural,Software Design
625,Why do we need Structure analysis and Structure design ?  What is Context diagram ?   ,Remember,Factual,Software Design
626,Determine the Cyclomatic complexity for GCD function. ,Evaluate,Procedural,Software Verification and Validation
627, Explain the drawbacks of waterfall model. Why is sprial model called meta model ?   ,Understand,Conceptual,Software Processes
628,What is a prototype model ? Under what circumstances is it beneficial to construct a prototype model ? Does  the construction of a prototype model always increase  the overall cost ? ,Evaluate,Procedural,Software Processes
629,Who are the different categories of users of the SRS  document ? What are their expectations from SRS ?,Remember,Factual,Requirements Engineering
630, What are the advantages of requirement specification  document ? Who is a good software engineer ?,Remember,Factual,Requirements Engineering
631,Which life cycle model will you follow for developing software for — i) a game ? (ii) a Compiler for new language ?   ,Apply,Procedural,Software Processes
632, What is the role of a manager in project management ?  What is Risk Containment ?       ,Remember,Factual,Software Project Management
633,Write short note on Intermediate COCOMO and  Complete COCOMO.   ,Understand,Conceptual,Software Project Management
634,"Two software engineers separately estimated a given  project to be of 10,000 and 15,000 lines of code  respectively. Bring out the Effort and Schedule time implications of their estimate using Organic COCOMO.",Apply,Procedural,Software Project Management
635, Why do we need to maintain the coding standard and   guidelines for coding ? What are the standards we need  to maintain ?       ,Remember,Factual,Software Construction
